action_id,job_id,company,instruction,reason,urgency,status,created_at,due_at,owner
action_001,job_002,Massimo Zanetti Beverage USA,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_055,medium,open,2026-04-22T20:49:22.712982-05:00,,JT7
action_002,job_003,Allstate,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_009,medium,open,2026-04-22T20:49:22.712982-05:00,,JT7
action_003,job_004,Sixfold,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_015,medium,open,2026-04-22T20:49:22.712982-05:00,,JT7
action_004,job_005,Miami Jewish Health,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_010,medium,open,2026-04-22T20:49:22.712982-05:00,,JT7
action_005,job_006,JETSET Pilates®,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_011,medium,open,2026-04-22T20:49:22.712982-05:00,,JT7
action_006,job_007,Pano AI,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_024,medium,open,2026-04-22T20:49:22.712982-05:00,,JT7
action_007,job_008,LinkedIn Job Alerts,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_017,medium,open,2026-04-22T20:54:10.322840-05:00,,JT7
action_008,job_009,Mail,Prepare for interview,Signal type: interview_scheduling | signal_id: signal_025,high,open,2026-04-22T20:54:10.322840-05:00,2026-04-29T06:26:14.135319-05:00,JT7
action_009,job_010,LinkedIn,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_026,medium,open,2026-04-22T20:54:10.322840-05:00,,JT7
action_010,job_011,Thomsonreuters,Send follow-up response,Signal type: follow_up_opportunity | signal_id: signal_028,medium,open,2026-04-22T20:54:10.322840-05:00,2026-04-30T06:26:14.135319-05:00,JT7
action_011,job_012,Indeed,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_035,medium,open,2026-04-22T20:54:10.322840-05:00,,JT7
action_012,job_013,LinkedIn Job Alerts,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_036,medium,open,2026-04-22T20:54:10.322840-05:00,,JT7
action_013,job_014,LinkedIn Job Alerts,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_037,medium,open,2026-04-22T20:54:10.322840-05:00,,JT7
action_014,job_015,American Airlines Talent Acquisition,Reply to recruiter outreach,Signal type: recruiter_outreach | signal_id: signal_038,high,open,2026-04-22T20:54:10.322840-05:00,2026-04-30T06:26:14.135319-05:00,JT7
action_015,job_016,GitHub,Review opportunity and decide whether to apply,Signal type: job_alert | signal_id: signal_039,medium,open,2026-04-22T20:54:10.322840-05:00,,JT7
action_016,job_017,Thomson Reuters,Send follow-up response,Signal type: follow_up_opportunity | signal_id: signal_124,medium,open,2026-04-22T20:58:35.974450-05:00,2026-04-30T06:26:14.135319-05:00,JT7
action_017,job_018,Thomson Reuters,Send follow-up response,Signal type: follow_up_opportunity,medium,open,2026-04-22T20:58:35.974450-05:00,,JT7
action_018,job_019,American Airlines,Reply to recruiter outreach,Signal type: recruiter_outreach,high,open,2026-04-22T20:58:35.974450-05:00,,JT7
