job_id,company,role,location,status,contact,last_contact_date,next_step,interview_datetime,direct_application_link,job_posting_link,fit_score,source,notes
job_001,Acme,Senior Product Designer,"Dallas-Fort Worth, TX",Not Applied,,,,,,,,template,Created from JT7 source-of-truth template
job_002,Massimo Zanetti Beverage USA,Director of eCommerce,,Cold,recruiter_002,2026-04-23 7:19,Review opportunity and decide whether to apply,,,,,indeed_email,"Created from Gmail subject: Massimo Zanetti Beverage USA is hiring for Director of eCommerce. 29 more Immediately Hiring jobs in Miami, FL. | signal job_alert from indeed_email thread:19db7dd83445b799 | signal_id:signal_040 | signal_id:signal_008 | signal_id:signal_055"
job_003,Allstate,Senior User Experience Designer,,Cold,recruiter_003,2026-04-22 19:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from Gmail subject: You may be a fit for Allstate’s Senior User Experience Designer role  - Actively recruiting | signal job_alert from linkedin_email thread:19db7cc9ac86506a | signal_id:signal_009
job_004,Sixfold,Lead Product Designer,,Cold,recruiter_004,2026-04-22 13:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from Gmail subject: You may be a fit for Sixfold’s Lead Product Designer role  - Actively recruiting | signal job_alert from linkedin_email thread:19db68306558e82d | signal_id:signal_014 | signal_id:signal_015
job_005,Miami Jewish Health,Senior Graphic Designer,,Cold,recruiter_005,2026-04-22 16:24,Review opportunity and decide whether to apply,,,,,indeed_email,"Created from Gmail subject: Miami Jewish Health is hiring for Senior Graphic Designer. 5 more graphic designer jobs in Miami, FL. | signal job_alert from indeed_email thread:19db714a1904cfbf | signal_id:signal_010"
job_006,JETSET Pilates®,Design & Development Manager,,Cold,recruiter_006,2026-04-22 15:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from Gmail subject: You may be a fit for JETSET Pilates®’s Design & Development Manager role  - Actively recruiting | signal job_alert from linkedin_email thread:19db6f12a764254f | signal_id:signal_011
job_007,Pano AI,Senior Product Designer,,Cold,recruiter_007,2026-04-22 9:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from Gmail subject: You may be a fit for Pano AI’s Senior Product Designer role  - 1 school alum | signal job_alert from linkedin_email thread:19db5a76f390f43f | signal_id:signal_024
job_008,LinkedIn Job Alerts,,,Cold,recruiter_008,2026-04-22 11:45,Review opportunity and decide whether to apply,,,,,gmail,Created from job_alert Gmail signal thread:19db61532e31ca6e | signal job_alert from gmail thread:19db61532e31ca6e
job_009,Mail,,,Interviewing,recruiter_019,2026-04-22 9:32,Prepare for interview,2026-04-22 9:32,,,,gmail,Created from interview_scheduling Gmail signal thread:19db59b85cf92081 | signal interview_scheduling from gmail thread:19db59b85cf92081
job_010,LinkedIn,,,Cold,recruiter_008,2026-04-22 9:18,Review opportunity and decide whether to apply,,,,,gmail,Created from job_alert Gmail signal thread:19db58ec4da62220 | signal job_alert from gmail thread:19db58ec4da62220
job_011,Thomsonreuters,,,Cold,recruiter_022,2026-04-22 9:14,Respond to outreach,,,,,gmail,Created from follow_up_opportunity Gmail signal thread:19db58b5849bdc81 | signal follow_up_opportunity from gmail thread:19db58b5849bdc81
job_012,Indeed,,,Cold,recruiter_029,2026-04-22 3:25,Review opportunity and decide whether to apply,,,,,gmail,Created from job_alert Gmail signal thread:19db44ba583cff97 | signal job_alert from gmail thread:19db44ba583cff97
job_013,LinkedIn Job Alerts,,,Cold,recruiter_008,2026-04-22 1:45,Review opportunity and decide whether to apply,,,,,gmail,Created from job_alert Gmail signal thread:19db3efd6593730a | signal job_alert from gmail thread:19db3efd6593730a
job_014,LinkedIn Job Alerts,,,Cold,recruiter_008,2026-04-21 23:45,Review opportunity and decide whether to apply,,,,,gmail,Created from job_alert Gmail signal thread:19db381fe2e3d93e | signal job_alert from gmail thread:19db381fe2e3d93e
job_015,American Airlines Talent Acquisition,,,Recruiter Contacted,recruiter_032,2026-04-21 22:10,Respond to outreach,,,,,gmail,Created from recruiter_outreach Gmail signal thread:19db32a8fd702f7b | signal recruiter_outreach from gmail thread:19db32a8fd702f7b
job_016,GitHub,"Staff Product Designer, Copilot",,Cold,recruiter_008,2026-04-21 21:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19db314223336eb7 | signal job_alert from linkedin_email thread:19db314223336eb7
job_017,Thomson Reuters,Senior UX Product Designer,,Cold,recruiter_022,2026-04-22 9:14,Respond to outreach,,,,,gmail,Created from follow_up_opportunity Gmail signal thread:19db58b5849bdc81 | signal follow_up_opportunity from gmail thread:19db58b5849bdc81
job_018,Thomson Reuters,Senior UX Product Designer,,Cold,recruiter_022,2026-04-22 9:14,Respond to outreach,,,,,gmail,Created from follow_up_opportunity Gmail signal thread:19db58b5849bdc81
job_019,American Airlines,,,Recruiter Contacted,recruiter_032,2026-04-21 22:10,Respond to outreach,,,,,gmail,Created from recruiter_outreach Gmail signal thread:19db32a8fd702f7b | signal recruiter_outreach from gmail thread:19db32a8fd702f7b
job_020,95 Percent Group,UX Design Manager,,Cold,recruiter_008,2026-04-23 20:44,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dbd28fad298473 | signal_id:signal_041 | signal job_alert from linkedin_email thread:19dbd28fad298473
job_021,Solara Laboratories,Digital Designer,,Cold,recruiter_035,2026-04-24 16:33,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dbcc9e8f92a5ed | signal_id:signal_044 | signal job_alert from indeed_email thread:19dbcc9e8f92a5ed | signal job_alert from indeed_email thread:19dc169f57496749 | signal_id:signal_116
job_022,OpenLoop,Senior Product Designer,,Cold,recruiter_008,2026-04-23 13:45,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dbace827b9f562 | signal_id:signal_053 | signal job_alert from linkedin_email thread:19dbace827b9f562 | signal_id:signal_054
job_023,OpenLoop,Senior Product Designer,,Cold,recruiter_008,2026-04-23 9:46,Review opportunity and decide whether to apply,,,,,linkedin_email,Created from job_alert Gmail signal thread:19dbace827b9f562 | signal_id:signal_054
job_024,Wildbound PR,Part-Time Web Designer (Squarespace Specialist for Authors and Publishers),,Cold,recruiter_035,2026-04-24 6:30,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dbf41e019058c6 | signal_id:signal_058 | signal job_alert from indeed_email thread:19dbf41e019058c6
job_025,edZOOcation,Web Manager (E-commerce & Conversion),,Cold,recruiter_035,2026-04-27 7:25,Review opportunity and decide whether to apply,,,,,indeed_email,Created from job_alert Gmail signal thread:19dd3ba9f275a8d7 | signal_id:signal_066 | signal job_alert from indeed_email thread:19dd3ba9f275a8d7 | signal job_alert from indeed_email thread:19dcee72e1e0603d | signal_id:signal_093
